prompt,desc_ko,aspect_ratio,seed,extra_positive,extra_negative
"Golden Retriever, breed-accurate features, friendly expression, full body portrait, looking at camera",골든 리트리버,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"Labrador Retriever, breed-accurate features, friendly expression, full body portrait, looking at camera",래브라도 리트리버,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"Poodle, breed-accurate features, friendly expression, full body portrait, looking at camera",푸들,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"Maltese, breed-accurate features, friendly expression, full body portrait, looking at camera",말티즈,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"Shih Tzu, breed-accurate features, friendly expression, full body portrait, looking at camera",시츄,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"Pomeranian, breed-accurate features, friendly expression, full body portrait, looking at camera",포메라니안,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"Welsh Corgi, breed-accurate features, friendly expression, full body portrait, looking at camera",웰시코기,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"French Bulldog, breed-accurate features, friendly expression, full body portrait, looking at camera",프렌치 불독,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"Beagle, breed-accurate features, friendly expression, full body portrait, looking at camera",비글,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"Shiba Inu, breed-accurate features, friendly expression, full body portrait, looking at camera",시바견,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"Border Collie, breed-accurate features, friendly expression, full body portrait, looking at camera",보더 콜리,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
"Yorkshire Terrier, breed-accurate features, friendly expression, full body portrait, looking at camera",요크셔테리어,1:1,,"semi-realistic illustration, warm pastel tones, soft fur texture, clean background, centered subject, no text, no letters, high quality",
