prompt,desc_ko,aspect_ratio,seed,extra_positive,extra_negative
"cute high school teenager, warm gentle smile, sweet innocent eyes, holding small flower bouquet, school uniform with cardigan, pink and peach pastel colors, shoujo manga style illustration, pure first love atmosphere, white background",다정다감 연인,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"reliable high school student, confident gentle gaze, tall and dependable posture, school uniform or casual hoodie, blue and navy pastel colors, shoujo manga style illustration, trustworthy class president vibe, white background",든든한 버팀목,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"energetic high school teenager, sparkling excited eyes, bright charming smile, school festival or confession scene, red and coral pastel colors, shoujo manga style illustration, heart-fluttering first crush vibe, white background",열정적인 로맨티스트,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"free-spirited high school student, relaxed easygoing expression, casual trendy outfit, butterfly or wind motif, cyan and sky blue pastel colors, shoujo manga style illustration, cool independent classmate vibe, white background",자유로운 동반자,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"friendly high school student, warm comfortable smile, holding bubble tea or snack, casual school afterclass outfit, yellow and cream pastel colors, shoujo manga style illustration, childhood friend atmosphere, white background",편안한 베스트프렌드,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"sporty high school athlete, bright enthusiastic expression, gym clothes or school sport uniform, dynamic energetic pose, orange and yellow pastel colors, shoujo manga style illustration, school sports club member vibe, white background",액티브 파트너,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"thoughtful high school student, deep gentle eyes, serene expression, in library or by window with books, purple and lavender pastel colors, shoujo manga style illustration, quiet intellectual classmate vibe, white background",진지한 소울메이트,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"tsundere high school student, cool slightly pouting expression with hidden warmth, looking away shyly, cat-ear hair clips or cat motif, slate gray and soft pink pastel colors, shoujo manga style illustration, cute tsundere classmate vibe, white background",츤데레 연인,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"homebody high school student, comfortable soft expression, wearing oversized hoodie with earphones, holding game controller or manga, amber and warm brown pastel colors, shoujo manga style illustration, cozy weekend at home vibe, white background",집순이/집돌이 파트너,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"balanced high school student, calm peaceful expression, gentle reliable smile, school council badge or notebook, green and sage pastel colors, shoujo manga style illustration, perfect all-rounder classmate vibe, white background",밸런스 연인,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"confident high school student couple, warm natural smiles, comfortable together walking home from school, matching school bags, green and soft gold pastel colors, shoujo manga style illustration, healthy first love atmosphere, white background",안정형 (Secure),1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"anxious high school student, worried hopeful eyes, checking phone for message, sitting in classroom alone, heart and question mark thought bubbles, yellow and soft orange pastel colors, shoujo manga style illustration, waiting for crush's text vibe, white background",불안형 (Anxious),1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"independent cool high school student, calm collected expression, earphones in looking out window, personal space bubble around, blue and slate gray pastel colors, shoujo manga style illustration, cool loner student vibe, white background",회피형 (Avoidant),1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"conflicted high school student, torn expression, wanting to approach but hesitating, half reaching hand half stepping back, swirling emotions around, purple and deep blue pastel colors, shoujo manga style illustration, complicated first crush feelings, white background",혼란형 (Disorganized),1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"mostly confident high school student, gentle smile with slight worry in eyes, holding phone casually, relaxed but sometimes checking, yellow-green gradient pastel colors, shoujo manga style illustration, mostly secure but overthinking sometimes, white background",안정-불안 경계형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"balanced high school student, peaceful expression, comfortable with some personal space, sitting at desk with comfortable distance, light blue and sage green pastel colors, shoujo manga style illustration, healthy boundaries in relationship, white background",안정-회피 경계형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"adaptable high school student, calm flexible expression, standing at school crossroads peacefully, balance scale or yin-yang motif, neutral gray and soft rainbow accent pastel colors, shoujo manga style illustration, going with the flow vibe, white background",균형형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"conflicted loner high school student, guarded but longing expression, sitting alone but glancing at others, wave and push-pull motif, deep purple and ocean blue pastel colors, shoujo manga style illustration, wanting connection but fearing it, white background",회피-혼란 경계형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students walking together peacefully, one calm and steady, one gentle and caring, soft pink cherry blossom background, matching scarves, shoujo manga style, harmonious peaceful atmosphere, pastel pink and green colors, white background",안정형 + 배려형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one calm comforting the other who is emotional, sitting on school bench, one patting shoulder gently, shoujo manga style, supportive caring atmosphere, pastel blue and soft orange colors, white background",안정형 + 감성형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two peaceful high school students reading books together in library, calm quiet atmosphere, dove and peace motif, shoujo manga style, serene tranquil vibe, pastel white and soft gray colors, white background",안정형 + 순응형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students in art room, one steady supportive watching other paint, creative artistic atmosphere, easel and canvas, shoujo manga style, nurturing artistic vibe, pastel purple and cream colors, white background",안정형 + 섬세형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two energetic high school students high-fiving after winning, sports day or school competition, fire and energy aura, shoujo manga style, victorious passionate atmosphere, pastel red and orange colors, white background",리더형 + 열정형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students planning together, one confidently leading pointing at board, other analyzing with glasses, student council room, shoujo manga style, strategic teamwork vibe, pastel navy and gray colors, white background",리더형 + 분석형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one standing confidently as class president, other supporting from behind with notes, handshake or teamwork pose, shoujo manga style, perfect partnership vibe, pastel gold and teal colors, white background",리더형 + 서포터형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two competitive high school students facing each other, both wearing crowns, friendly rivalry spark between them, debate or competition scene, shoujo manga style, power couple or clash vibe, pastel gold and purple colors, white background",리더형 + 리더형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two studious high school students with glasses, both analyzing data on laptops, brain and logic symbols, science lab or study room, shoujo manga style, intellectual connection vibe, pastel blue and silver colors, white background",분석형 + 분석형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two contrasting high school students, one logical with calculator, one emotional with heart, comedy and tragedy masks motif, opposites attract scene, shoujo manga style, yin-yang balance vibe, pastel blue and pink colors, white background",분석형 + 감성형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one with blueprint/chart, one with colorful paint brushes, merging ideas together, lightbulb moment, shoujo manga style, innovation creativity vibe, pastel gray and rainbow colors, white background",분석형 + 창의형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one presenting charts coolly, other warmly helping with materials, project presentation scene, shoujo manga style, balanced teamwork vibe, pastel blue and warm yellow colors, white background",분석형 + 서포터형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two emotional high school students sharing deep conversation, both with tears of joy and understanding, heart symbols floating, shoujo manga style, soulmate deep connection vibe, pastel pink and magenta colors, white background",감성형 + 감성형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two artistic high school students creating together, one singing emotionally, one painting colorfully, rainbow and music notes, shoujo manga style, creative explosion vibe, pastel rainbow colors, white background",감성형 + 창의형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two gentle high school students comforting each other, warm hug or hand holding, healing aura around them, shoujo manga style, mutual comfort healing vibe, pastel peach and mint colors, white background",감성형 + 배려형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one dramatically emotional with sparkles, other calmly cleaning up mess, moon and star motif, shoujo manga style, dramatic vs calm contrast vibe, pastel purple and silver colors, white background",감성형 + 순응형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two super energetic high school students, both on fire with passion, volcano and explosion motif, too much energy sparks flying, shoujo manga style, explosive synergy or clash vibe, pastel red and orange colors, white background",열정형 + 열정형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two adventurous high school students, one with fire energy, one with explorer gear, rocket and map motif, ready for adventure pose, shoujo manga style, dynamic duo conquer world vibe, pastel orange and cyan colors, white background",열정형 + 모험가형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two contrasting high school students, one running with fire, other calm holding steady, balance scale motif, accelerator and brake visual, shoujo manga style, balanced energy vibe, pastel red and green colors, white background",열정형 + 안정형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
