prompt,desc_ko,aspect_ratio,seed,extra_positive,extra_negative
"cute high school teenager, warm gentle smile, sweet innocent eyes, holding small flower bouquet, school uniform with cardigan, pink and peach pastel colors, shoujo manga style illustration, pure first love atmosphere, white background",다정다감 연인,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"reliable high school student, confident gentle gaze, tall and dependable posture, school uniform or casual hoodie, blue and navy pastel colors, shoujo manga style illustration, trustworthy class president vibe, white background",든든한 버팀목,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"energetic high school teenager, sparkling excited eyes, bright charming smile, school festival or confession scene, red and coral pastel colors, shoujo manga style illustration, heart-fluttering first crush vibe, white background",열정적인 로맨티스트,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"free-spirited high school student, relaxed easygoing expression, casual trendy outfit, butterfly or wind motif, cyan and sky blue pastel colors, shoujo manga style illustration, cool independent classmate vibe, white background",자유로운 동반자,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"friendly high school student, warm comfortable smile, holding bubble tea or snack, casual school afterclass outfit, yellow and cream pastel colors, shoujo manga style illustration, childhood friend atmosphere, white background",편안한 베스트프렌드,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"sporty high school athlete, bright enthusiastic expression, gym clothes or school sport uniform, dynamic energetic pose, orange and yellow pastel colors, shoujo manga style illustration, school sports club member vibe, white background",액티브 파트너,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"thoughtful high school student, deep gentle eyes, serene expression, in library or by window with books, purple and lavender pastel colors, shoujo manga style illustration, quiet intellectual classmate vibe, white background",진지한 소울메이트,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"tsundere high school student, cool slightly pouting expression with hidden warmth, looking away shyly, cat-ear hair clips or cat motif, slate gray and soft pink pastel colors, shoujo manga style illustration, cute tsundere classmate vibe, white background",츤데레 연인,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"homebody high school student, comfortable soft expression, wearing oversized hoodie with earphones, holding game controller or manga, amber and warm brown pastel colors, shoujo manga style illustration, cozy weekend at home vibe, white background",집순이/집돌이 파트너,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"balanced high school student, calm peaceful expression, gentle reliable smile, school council badge or notebook, green and sage pastel colors, shoujo manga style illustration, perfect all-rounder classmate vibe, white background",밸런스 연인,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
