prompt,desc_ko,aspect_ratio,seed,extra_positive,extra_negative
"two high school students walking together peacefully, one calm and steady, one gentle and caring, soft pink cherry blossom background, matching scarves, shoujo manga style, harmonious peaceful atmosphere, pastel pink and green colors, white background",안정형 + 배려형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one calm comforting the other who is emotional, sitting on school bench, one patting shoulder gently, shoujo manga style, supportive caring atmosphere, pastel blue and soft orange colors, white background",안정형 + 감성형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two peaceful high school students reading books together in library, calm quiet atmosphere, dove and peace motif, shoujo manga style, serene tranquil vibe, pastel white and soft gray colors, white background",안정형 + 순응형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students in art room, one steady supportive watching other paint, creative artistic atmosphere, easel and canvas, shoujo manga style, nurturing artistic vibe, pastel purple and cream colors, white background",안정형 + 섬세형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two energetic high school students high-fiving after winning, sports day or school competition, fire and energy aura, shoujo manga style, victorious passionate atmosphere, pastel red and orange colors, white background",리더형 + 열정형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students planning together, one confidently leading pointing at board, other analyzing with glasses, student council room, shoujo manga style, strategic teamwork vibe, pastel navy and gray colors, white background",리더형 + 분석형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one standing confidently as class president, other supporting from behind with notes, handshake or teamwork pose, shoujo manga style, perfect partnership vibe, pastel gold and teal colors, white background",리더형 + 서포터형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two competitive high school students facing each other, both wearing crowns, friendly rivalry spark between them, debate or competition scene, shoujo manga style, power couple or clash vibe, pastel gold and purple colors, white background",리더형 + 리더형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two studious high school students with glasses, both analyzing data on laptops, brain and logic symbols, science lab or study room, shoujo manga style, intellectual connection vibe, pastel blue and silver colors, white background",분석형 + 분석형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two contrasting high school students, one logical with calculator, one emotional with heart, comedy and tragedy masks motif, opposites attract scene, shoujo manga style, yin-yang balance vibe, pastel blue and pink colors, white background",분석형 + 감성형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one with blueprint/chart, one with colorful paint brushes, merging ideas together, lightbulb moment, shoujo manga style, innovation creativity vibe, pastel gray and rainbow colors, white background",분석형 + 창의형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one presenting charts coolly, other warmly helping with materials, project presentation scene, shoujo manga style, balanced teamwork vibe, pastel blue and warm yellow colors, white background",분석형 + 서포터형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two emotional high school students sharing deep conversation, both with tears of joy and understanding, heart symbols floating, shoujo manga style, soulmate deep connection vibe, pastel pink and magenta colors, white background",감성형 + 감성형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two artistic high school students creating together, one singing emotionally, one painting colorfully, rainbow and music notes, shoujo manga style, creative explosion vibe, pastel rainbow colors, white background",감성형 + 창의형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two gentle high school students comforting each other, warm hug or hand holding, healing aura around them, shoujo manga style, mutual comfort healing vibe, pastel peach and mint colors, white background",감성형 + 배려형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one dramatically emotional with sparkles, other calmly cleaning up mess, moon and star motif, shoujo manga style, dramatic vs calm contrast vibe, pastel purple and silver colors, white background",감성형 + 순응형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two super energetic high school students, both on fire with passion, volcano and explosion motif, too much energy sparks flying, shoujo manga style, explosive synergy or clash vibe, pastel red and orange colors, white background",열정형 + 열정형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two adventurous high school students, one with fire energy, one with explorer gear, rocket and map motif, ready for adventure pose, shoujo manga style, dynamic duo conquer world vibe, pastel orange and cyan colors, white background",열정형 + 모험가형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two contrasting high school students, one running with fire, other calm holding steady, balance scale motif, accelerator and brake visual, shoujo manga style, balanced energy vibe, pastel red and green colors, white background",열정형 + 안정형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one pulling enthusiastically leading, other being dragged along happily, roller coaster motif, shoujo manga style, lead and follow dynamic vibe, pastel orange and white colors, white background",열정형 + 순응형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two quirky creative high school students, both with wild colorful ideas, circus and imagination explosion, lightbulbs and paint everywhere, shoujo manga style, genius creative chaos vibe, pastel rainbow and gold colors, white background",창의형 + 창의형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two imaginative high school students, one dreaming up unicorn, other making it reality with tools, fantasy meets reality scene, shoujo manga style, dream team making magic vibe, pastel purple and cyan colors, white background",창의형 + 모험가형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two contrasting high school students, one floating with creative clouds, other grounded with house motif, tug of war between dream and reality, shoujo manga style, dream vs reality balance vibe, pastel purple and brown colors, white background",창의형 + 안정형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one stargazing with big dreams, other organizing and supporting with checklist, star and clipboard motif, shoujo manga style, dreamer and doer partnership vibe, pastel yellow and teal colors, white background",창의형 + 서포터형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
